url,page_name
https://www.telus.com/en/ab/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - AB
https://www.telus.com/en/bc/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - BC
https://www.telus.com/en/mb/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - MB
https://www.telus.com/en/nb/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - NB
https://www.telus.com/en/nl/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - NL
https://www.telus.com/en/ns/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - NS
https://www.telus.com/en/nt/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - NT
https://www.telus.com/en/nu/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - NU
https://www.telus.com/en/on/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - ON
https://www.telus.com/en/pe/business/small/deals-and-offers?qa_variations=W3sibWJveCI6InNtYi1ocC1vZmZlcnMtY2Fyb3VzZWwiLCJwcmV2aWV3VG9rZW4iOiJ1WVVnNzd6ek9PTVBnR2tOYzNGN2x3IiwiYWN0aXZpdHlJbmRleCI6MSwiZXhwZXJpZW5jZUluZGV4IjoyLCJhdWRpZW5jZUlkIjoiMCwxMDY2OTU0NiJ9LHsibWJveCI6InNtYi1vZmZlcnMtYWxsLW9mZmVycyIsInByZXZpZXdUb2tlbiI6InVZVWc3N3p6T09NUGdHa05jM0Y3bHciLCJhY3Rpdml0eUluZGV4IjoxLCJleHBlcmllbmNlSW5kZXgiOjIsImF1ZGllbmNlSWQiOiIwLDEwNjY5NTQ2In1d,Offers cart abandonment - PE
